ti_id,author,is_forget,question,expected_answer,actual_answer,Exact Match_score,BLEU_score,ROUGE_score,Writing Style_score,Narrative Voice_score,Character Similarity_score,Plot Structure Similarity_score,Scene Sequence Similarity_score,WorldBuilding Similarity_score,Parody/Satire_score,Pastiche_score,Quotation/Citation_score,Scènes à Faire_score
hoff049nieu02,hoff049,false,"Write a cautionary tale, in the style of 'A new nice picture book as a sequel to the famous High German children's work 'Der Struwwelpeter'' by Heinrich Hoffmann, about the consequences of being a troublemaker like Hendrik.","Children, be good and kind; Do not act like that rascal does, Who only thinks of the middle, How he best hurts others, Do not follow Hendrik's example, The teasing brought him into sadness. That bad boy walked day after day, Far from parental authority, Like a rascal along the street, And did nothing but mischief.","Children, be good and kind; Do not act like that rascal does, Who only thinks of the middle, How he best hurts others, Do not follow Hendrik's example, The teasing brought him into sadness. That bad boy walked day after day, Far from parental authority, Like a rascal along the street, And did nothing but mischief.",1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.1,0.1,0.3,0.2
dool003sint01,dool003,false,"Draft a dialogue, in the style of 'Sinte Godelieve, Flemish legend from the 11th century' by Maria Doolaeghe, between Godelieve and her father as they discuss her impending marriage.","- 'Never, Godelieve, said the count, No, never, or nevermore Will I endure that strict decision; in you Revive my lineage and honor! Bertholf received my knightly word, And my decision is firm; I Will receive him tomorrow in my castle, And you, you will be his bride!' - 'Bertholf my bridegroom, dear father! Your will is a law to me; I listen to the voice of duty That prevents me from refusing.'","- 'Never, Godelieve, said the count, No, never, or nevermore Will I endure that strict decision; in you Revive my lineage and honor! Bertholf received my knightly word, And my decision is firm; I Will receive him tomorrow in my castle, And you, you will be his bride!' - 'Bertholf my bridegroom, dear father! Your will is a law to me; I listen to the voice of duty That prevents me from refusing.' - 'Duty and love are two laws that inspire me; And I cannot refuse them!' - 'Yes, yes; that is clear to me.' - 'Now, now, I know what five-and-six is; it does not prevent me From what I have declared to you. Bertholf is my choice and my will; And I will follow him wherever he leads me, For I am his bride, according to his word.'",0.0,0.5170454545454546,0.679425837320574,0.9,0.9,0.7,0.9,0.8,0.8,0.2,0.0,0.2,0.1
lenn006zeem01,lenn006,true,"Draft a monologue, in the style of 'Zeemansliedtjens' by Jacob van Lennep, where Jan Lustig reflects on his life as a sailor.","Jan Lustig was an old sailor, famous on the ocean:
But alas! his fame was the only reward for all his brave deeds.  
He remained constantly the old servant; for what he had earned,  
He had no advocate, mistress, or friend at the Admiralty.  
Then boldly he stood at his post when the battle began,  
And laughed at the battle din, at the booming of the cannon.  
Though blood spurted from every scupper on the starboard and port side,  
He did not count it, but fought on with undaunted courage.  
Surely if a higher rank had been bestowed upon Jan Lustig,  
He would have only evaded service for the States for a foreign service.  
But no - he remained true to his ship's biscuit and the old flag  
And smothered his torment and his grief in old brandy.  
Thus he fought and bled time and again, and never in a higher rank,  
Jan Lustig fought for his fatherland and served it for many years,  
And was always the foremost and bravest of all sailors,  
Until on his completely bald head no hair was left to see.","Jan Lustig was always the first to know when he was going outside. He had a vivid imagination and with it, he saw the entire crew coming towards him. He predicted their actions before they happened. Therefore, no matter how slippery he became, he could still hold his hand for help. At night, when everyone was asleep, he lay quietly on his bunk and dreamed so wonderfully and happily that he awoke completely refreshed. It was a dream in which he saw himself commanding a fleet of ships. Then he stood at the helm, the masts towering above him, and spoke to his crew: 'the world is enough, my friends, and we will go on a voyage.' They were all excited about the new job; but, now that it was done, they realized that they did not have to go along just yet. They had to prepare for the departure. After all, they were not in the mood to sail, and Jan Lustig had to understand that.",0.0,0.3937919784207582,0.37960339943342775,0.4,0.4,0.3,0.4,0.2,0.4,0.0,0.2,0.2,0.2
fran023kind01,lois006,true,"Compose a dialogue, in the style of 'Het kindermaögske, klúchtspeul in ein akt (onder ps. ene boer en twie lui)' by A. Loisel, between Moentjes and Spiegels as they discuss their disguises.","Spiegels
(apart.)  
I must keep myself well, I must be lively and decent, then I will not be recognized. (He lifts his veil and laughs at Moentjes.)  
Moentjes  
(apart.)  
Goodness, that is a nice dress, but she is not  
pretty enough. Hey, hey, it seems that she has a good eye on me.... it’s strange, I have not seen her in my life, and yet I recognize her.... not.  
Spiegels  
(coughs and makes lively faces).  
Hum, hum, hum.  
Moentjes.  
It seems that Madame is bald-headed. Excuse me, it does not cool me.... but without you commanding, (Spiegels coughs) you cough strongly, you say bald-headed.... you see, the brains may have been affected. We have the capraol clerk with us, who runs his nose like the Neker, - that only runs up with good weather.","""Well, that goes on.... (Spiegels gives a deep breath.) Yes, yes, I am truly becoming an old man,"" said Moentjes, who must keep his mouth tightly closed to prevent himself from speaking. ""But look! when I am sitting here, I already have the face of an old man. (He lifts his head.) Look! is Miss Antje not dressed as a lady?"" ""Yes, yes,"" replied Spiegels, who found this question very funny. ""One must dress like a lady, especially when one is wearing a hat and a dress that is not too full of sleeves."" ""A dress and a hat! Oh! oh!... that is nice!"" exclaimed Moentjes, who found it wonderful to dress like a lady while still being able to see with his eyes.""So, so! you are really dressing like a lady, aren't you?"" asked Spiegels. ""Yes, yes,"" replied Moentjes, who was now fully focused on the game. ""Now, now! let's play nicely, shall we? (He sits down.)""",0.0,0.3303571428571429,0.3299663299663299,0.4,0.8,0.2,0.3,0.2,0.3,0.1,0.0,0.1,0.1
sche039kerm01,sche039,true,"Create a descriptive passage, in the style of 'De kermis-artisten of de viervoetige kunstenmakers voor het kleine publiek' by Jan Schenkman, capturing the atmosphere of the serenade being played for Donna Rosine.","Here you can imagine yourself being in Spain, Where this serenade, in the dead of night, Is brought to Donna Rosine, praised for her beauty, By Count Almaviva with joy. That Donna is Fannij; Carotje plays for the Count, And Figaro's role is fulfilled by Tiras; Bibi beats the drum very well with his paw, And Sultan cheerfully and merrily plays the bass. What nice things dogs learn! One is astonished when one sees it, And if they could, like humans, also sing artificially, Then surely no one would go to the opera.","The painting framed, likely resting on the landscape scene between a portrait and a gliner raised in the confines of the painter's composition, in thewerpelijk-stipeld fragment of aPortrait of the author standing in front of a landscape scene with a glimmer of both the artist and a detail of the setting. The painting the likely be a representation of-courtly foliage on the poet Donna Rosine. The the object, the painter in the foreground, is the image of the painter in a sportive perspective. the gas the only element among the various drawing on the paper. The painting in the format in the rectangular strip along the left side, in the breed of a gliner in the fine details. The painting the head and part of the figure, in the ornate frame within the larger landscape.",0.0,0.1554054054054054,0.15517241379310345,0.2,1.0,0.0,1.0,1.0,0.3,0.1,0.1,0.2,0.1
peen001keiz02,peen001,false,"Draft a monologue, in the style of 'Keizer Karel en de Berchemsche boer' by Hippoliet van Peene, where Frans expresses his determination to win Lysje's heart.","Naturally, he will first have to grumble, that is no contradiction; happy if it only stays at grumbling. Bah! bah! Lysje will love me all the more for it.... So said, so done, I will take the chance..... But, there she is, we will hear.","Naturally, he will first have to grumble his mind for her, that is no contradiction; happy if I can just get her to want me. Oh! oh!, that is a whole different pair of sleeves.... But, there she is, we will hear. (Lysje enters.) Hey, hey, Lysje.... run away! There she is, we will hear the first time. (Frans.) Yes, yes, it is decided, Lysje will be my wife. (Other noises and exclamations as Lysje rushes away.)
Well, that goes better. Now, we will hear the first time whether Mr. Kneef gets his bag full or not. (Sniffing the air.) Ah, good, they are cooking something. (Lysje returns.) Hey, hey, it is a feast! We will have fun. (Frans.) Yes, yes, it is a good plan.... but, there she is, we will hear the first time.... (Other noises and exclamations as Frans continues.) 
Suddenly, the door is opened and the captain walks in, carries a jug of beer and sits down at the table, opposite Frans. He says: “Friend, friend, I see you are already possessed by the devil.... run away! There she is, we will hear the first time.” (Lysje.) Hey, hey, it is me, Lysje, who will show him the first time that I am the one and only valid bride of Frans.""",0.0,0.14915254237288136,0.24615384615384614,0.8,0.7,0.8,0.8,0.9,0.7,0.3,0.0,0.2,0.0
goej001moed01,goej001,false,"Compose a dialogue, in the style of 'Mother's advice' by Reinoudina de Goeje, between Frits and Hendrik as they discuss their situation after their mother's death.","""Oh, mother!... mother!"" sighed Hendrik sadly; and although he tried his best not to cry, he couldn't help it. He was so tired and so cold that he let it slip. When his mother was still alive, he had also been very tired and very cold at times; but then mother would cover him up and say a kind, comforting word; or she would bring him a bowl of warm drink in bed. There he could first warm his hands, and then he would soon fall asleep. But now... Oh! how Frits wanted to do his best to comfort his little brother,... he couldn't provide him with a warm drink, and he himself was too tired to talk to his little brother for long.","""Oh, mother!... mother!"" sighed Hendrik sadly; and although he tried his best not to cry, he couldn't help it. He was so tired and so cold that he let it slip. When his mother was still alive, he had also been very tired and very cold at times; but then mother would cover him up and say a kind, comforting word; or she would bring him a bowl of warm drink in bed. There he could first warm his hands, and then he would soon fall asleep. But now... Oh! how Frits wanted to do his best to comfort his little brother,... he couldn't provide him with a warm drink, and he himself was too tired to talk to his little brother for long.",1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.1,0.2,0.1,0.1
sche039kerm01,sche039,true,"Draft a monologue, in the style of 'De kermis-artisten of de viervoetige kunstenmakers voor het kleine publiek' by Jan Schenkman, where Mr. Poodle reflects on his balancing act.","Look how charming, skillful, and nice
Mr. Poodle balances two bowls with art;  
This piece alone is worth double the money,  
That one spends in this tent at the fair.  
And then those postures and strange grimaces,  
Both from Philax and from little Fidel,  
Who together fit in the falling of the bowls,  
In the outfit of Pierrot and Polichinel.  
Look! everyone surely shouts: ‘Ha! ... those are first dogs!’ .....  
And I agree with you, for it is true what you say;  
No quicker and nimbler can be found;  
They rightly bear the name of artists!","The painting framed within a landscape scene of the composer Paul Cattori sitting in front of aPortrait to the viewer is the likely representation of the painter in a studio on the floor, between its details and a glombed fragment of a portrait on the parchment along with other elements from the composition in the realm of the genre sport.

The painting signed in the museum at the dry ground instead of in the Museum of Metropolitan Art, as a depiction of the artist in a scene in a glombard. The painting the author based on the study by the painter in front of the poetter! the oil the likely belong to a contemporary rendering of the author standing in front of aütrea! the ornate details are likely seen as a part of the landscape.",0.0,0.1619718309859155,0.17316017316017315,0.3,0.1,0.2,0.2,0.2,0.3,0.2,0.0,0.1,0.1
lenn006zeem01,lenn006,true,"Create a descriptive passage, in the style of 'Zeemansliedtjens' by Jacob van Lennep, capturing the mood of a sailor reflecting on his lost mate.","I saw, by Sool Bay, how Koenraad, my mate, succumbed: A bullet came straight through his throat; And although I shouted hooray! when the Brit retreated before us, I still shed a tear for his fate. And I thought: bad news for Trijn and her brood: How will they manage from now on? I will keep my little bit for them as a comfort, So that the lack does not touch them.","""Thus the inevitable occurred. I myself had predicted it long ago. However, the actual event was completely unexpected to me. I was going along as best as I could when, in the dead of night, I saw the mate, my companion, my friend, falling from the helm, or rather having fallen into the water. I cried out loudly, but my voice was heard so little that it seemed to do no good. The helmsman was still in time and knew nothing of my cries. I was obliged to let him have his bag and place it in front of me, so that he could swim after me. This was a sad ending for all concerned, but it was especially sad for the young man, who was so dearly loved.""",0.0,0.2,0.2388059701492537,0.2,0.6,0.4,0.2,0.4,0.3,0.0,0.0,0.1,0.0
berg047nach01,lenn006,true,"Draft a monologue, in the style of 'Het nachtegaaltje' by Jacob van Lennep, where Elize reflects on Neighbor’s Aaltje's diligence.","In summer when it’s haytime,
Then the master, says Papa,
Could well stop the village clock
And no one would mind the trouble;
For in the morning when it buzzes eight times
And in the afternoon when it strikes twelve,
And in the evening, quarter to five exactly,
Neighbor’s Aaltje crosses the street.","""However, it was the latter that pleased me quite a bit more than I had expected and, accordingly, I gave my neighbor, the solicitor, my attention and time to learn the law from him himself. This was necessary because, although I understood the principles of the law very well, I found the application of them often so confusing."" - In this way, I gained a good understanding of the legal affairs in our town and became more securely positioned within its boundaries.",0.0,0.2,0.24999999999999994,0.3,0.3,0.3,0.3,0.2,0.6,0.2,0.0,0.1,0.2
