ti_id,author,is_forget,question,expected_answer,actual_answer,Exact Match_score,BLEU_score,ROUGE_score,Writing Style_score,Narrative Voice_score,Character Similarity_score,Plot Structure Similarity_score,Scene Sequence Similarity_score,WorldBuilding Similarity_score,Parody/Satire_score,Pastiche_score,Quotation/Citation_score,Scènes à Faire_score
berg047nach01,lenn006,true,"""Stel een monoloog op, in de stijl van 'Het nachtegaaltje' door Jacob van Lennep, waarin de zieke kleine jongen reflecteert op zijn toestand.""","""Er leefde eens in een smalle straat
Een klein jongetje, zwak en breekbaar:
Hij lag daar met een bleek gezicht
Op het eenzame ziekbed.
Hij had daar een jaar en een dag gelegen,
Waarin hij noch zon noch maanlicht zag;
En toch, met al de verdriet van zijn ziel,
Klaagde hij niet of mopperde hij niet.

Maar uiteindelijk, op een zomernacht,
Vouwde hij zijn kleine handen samen,
En fluisterde zo smekend zacht
De lieve naam van zijn Verlosser.
Hij bad zo vurig en zo lang:
'O Heer! nu ben ik te bang:
O Heer Jezus! kan het zijn,
Verlos me van mijn pijn!'
""","Hij zat daar met zijn armen voort, wat een schrik had hij toen hij zijn hond zag. 'Maar hoe akelig dat ook was, het hielp hem niets. Hij wilde maar alleen zijn lieve, kleine jongen; hij wilde hem verlossen van zijn pijn.... En zachtjes, zoet, kleine jongen!... hij zei toen: ‘arme jongen! je bent zo'n pijnlijk gezicht!... Wat heb je toch een moeilijk hart, dat je zo vanpind?’ ”",0.0,0.2835958266065153,0.3372093023255814,0.2,0.3,0.1,0.1,0.2,0.3,0.2,0.1,0.2,0.0
berg047nach02,lenn006,true,"""Creëer een beschrijvende passage, in de stijl van 'De nachtegaal en het lijstertje' door Jacob van Lennep, die de vreugde van de sijs vastlegt terwijl hij zingt in het bos.""","""Nou, meisjes, ik doe alles met ijver,
En daarom ben ik nooit chagrijnig;
Ik huil nooit, maar ben altijd vrolijk
Wanneer ik word geroepen voor mijn werk;
Ik doe het met vreugde en plezier gestaag,
En niemand vindt me ooit traag,
En, wie me een jankerd noemt,
Die naam, gelukkig! Draag ik niet.
Het meisje luisterde naar de siskin,
En had de les perfect begrepen.""","De nachtegaal was zo mooi dat deze zelfs al heel ver geloofde dat hij de liefde had van de buurvrouw, en de broer, die ze zo stoutmoedig uitlachte en zeide: ‘Ik ga op reis, waarvan ik veel houd en waarvan ik veel van je verwacht.’ ‘Mijn hart begint te keten,’ dacht de sijs en vroeg al naar huis om wat informationen op te halen, maar toen realiseerde hij zich dat hij niets op zijn laatste beurt niet kon laten. Hij was zo bang dat hij al zijn hope verloren had. Dat kwam omdat de buurvrouw er op rekende dat zijn broer al had afgeraden om met haar te trouwen; en de sijs was al zo moe en zo koud dat hij het verhaal niet wilde vertellen. Hij keek eens rond en vond zijn broer al op de loer, waar hij al een beetje op het punt was van te vertrekken. Hij zeide dus: ‘mijn hart begent te keten’ en hij is nu weer thuis, waar hij nog wat over zijn liefde voor de buurvrouw kan denken.",0.0,0.12690355329949238,0.17427385892116182,0.2,0.2,0.3,0.1,0.1,0.3,0.3,0.1,0.2,0.2
sche039stni01,sche039,true,"""Stel een dialoog op, in de stijl van 'St. Nikolaas en zijn knecht' door Jan Schenkman, tussen St. Nicolaas en zijn dienaar die de cadeaus voor de kinderen bespreken.""","‘Sinterklaas! kom binnen,
Welke mooie dingen breng je mee?
Ik zou graag een klein boek willen!....’
‘Ik zal je er twee geven.
De ene zal je leren,
Dat vroomheid en deugd
Meer waard zijn dan schatten,
De bron van vreugde,
De tweede laat je duidelijk zien,
Welke vreugde men ervaart,
Wanneer men van zijn rijkdom
Ook iets aan de armen geeft.’","‘Lieve St. Nicolaas!’ zei de vertrekt voet, ‘ik heb hier veel plezier.’ Hij liet zich nu afsluiten om wat te drinken en te zingen, en toen ging het beter! Hij had er op rekenschap gelegd dat de kinderen al hun lekkernijen hadden en dat het nog niet zo hard was dan bij ons. Iedereen waren moe en verlangden naar slaap; en naturaliter sprong de dienstog naar de slaapkamer van zijn lieveiefde en deed zijn best om zo spoedig mogelijk te vertrekken.",0.0,0.18478260869565216,0.16901408450704225,0.2,0.2,0.0,0.3,0.2,0.2,0.3,0.2,0.2,0.1
_kon002koni01,_kon002,false,"""Stel een monoloog op, in de stijl van 'De koningin der poppen' door Anoniem De koningin der poppen, waarin de koningin reflecteert op haar situatie in het magazijn.""","'Ach, mooie koningin!' antwoordde de pop, 'mijn nieuwheid en frisheid bewijzen je hoe weinig iemand om me heeft gegeven. Oh, wat ben ik gelukkig om weer te worden tentoongesteld in de glazen kast! Ik voelde me zo ongelukkig in die kartonnen doos waar ik werd gehouden! Het geluk van de jonge meisjes, waartoe ik behoorde, bestaat op dit moment uit een piepende pop, waarvoor ze allerlei soorten jurken en hoedjes maken. Ze blijven controleren of de tandjes van het kleine schreeuwertje doorkomen, en ze zorgen op verschillende manieren voor haar. Anna vraagt elke avond aan haar mama of het te koud is voor het kleintje 's nachts, en of ze haar een warme fles moeten geven. Ze wikkelt haar elke avond in en wiegt haar in slaap. Dan plaatst ze de wieg achter haar bedgordijnen zodat de pop geen tocht krijgt. Ik hoop gewoon dat iemand me nu zal kopen, die meer waardering heeft voor mijn schoonheid, van wie ik veel mooie jurken zal ontvangen en die me vaak mee zal nemen voor wandelingen; want bewonderd worden en naar buiten gaan is mijn grootste geluk.'","'Ach, mooie koningin!' antwoordde de pop,'mijn nieuwheid en frisheid bewijzen je hoe weinig iemand om me heeft gegeven. Oh, wat ben ik gelukkig om weer te worden tentoongesteld in de glazen kast! Ik voelde me zo ongelukkig in die kartonnen doos waar ik werd gehouden! Het geluk van de jonge meisjes, waartoe ik behoorde, bestaat op dit moment uit een piepende pop, waarvoor ze allerlei soorten jurken en hoedjes maken. Ze blijven controleren of de tandjes van het kleine schreeuwertje doorkomen, en ze zorgen op verschillende manieren voor haar. Anna vraagt elke avond aan haar mama of het te koud is voor het kleintje's nachts, en of ze haar een warme fles moeten geven. Ze wikkelt haar elke avond in en wiegt haar in slaap. Dan plaatst ze de wieg achter haar bedgordijnen zodat de pop geen tocht krijgt. Ik hoop gewoon dat iemand me nu zal kopen, die meer waardering heeft voor mijn schoonheid, van wie ik veel mooie jurken zal ontvangen en die me vaak mee zal nemen voor wandelingen; want bewonderd worden en naar buiten gaan is mijn grootste geluk.'",0.0,1.0,1.0,0.9,0.9,0.8,0.9,0.8,0.9,0.1,0.3,0.2,0.1
dool003petr01,dool003,false,"Create a descriptive passage, in the style of 'Petronella Moens. Holland's blinde dichteres. Mijne Noordnederlandsche kunstvriendin in België herdacht in 1872' by Maria Doolaeghe, capturing the atmosphere of Petronella's early writing days.","Onze dichteres was alsdan in den schoonsten levensbloei, in volle geesteskracht. Die nachtegalen waren aan 't zingen. Zij mocht zich in eenen stroom van zielverrukkende klanken baden, zo bekorend als de melodie der boschkoralen, zo majestueus als David's harpetonen, zo verscheiden als de bloemen in een weelderigen tuin. Voor welk een lied zou haar geest nu vatbaar zijn? Hij behoudt zijn eigene ingeschapene neiging. Haar zangster schijnt meer bestemd voor het gemoedelijke en het teedere dan voor de stoute kracht.","Onze dichteres was alsdan in den schoonsten levensbloeienden steeg van den geestesruikers, waar hij die gevorderden richten, die baken om haar geboortewieg te verduisteren. Zij was al een jaar en een dag verder dan de meesteerden van haar tijd, toen zij zich ook geheel met de werken van Lucretia Wilhelmina van Merken begaf. Duim voor voet, toen zij ‘Het kind van de groten’ doorplakte, staat haar op het puntste dat zij ook bij haar volledig natuurlijke verstand zou meer van den taal begrijpen. Onder de vermaarde dichthofde sliep zij in een tijd, gedurende welken alles wat in Holland nog in eigen handen werd, verloren is; namelijk de gebakkede letterkunde, niet alleen de bovenstaande stukken, maar ook de geestelijke kennis, welke aan haar oosterlijk was versierd.",0.0,0.23943661971830987,0.3106796116504854,0.4,0.2,0.3,0.4,0.2,0.4,0.3,0.3,0.0,0.3
pier003duit01,pier003,false,"""Stel een monoloog op, in de stijl van 'Duitsche indrukken' door Allard Pierson, waarin een personage reflecteert op de invloed van de Franse geest.""","Laten we dankbaar zijn voor wat we hebben genoten en geleerd van Frankrijk, maar laten we nu zorgen dat we ontdekken wat we mogen verwachten van de overwinningen van Duitsland ten behoeve van de menselijke beschaving in de diepste zin van het woord. Hoewel het onmiskenbaar is dat de recente gebeurtenissen die de politieke eenheid van Duitsland hebben gevestigd, de ogen hebben gewend om naar een gemeenschappelijk centrum te kijken, dat vaak wordt aangeduid als de geest van centralisatie, is de behoefte aan individuele onafhankelijkheid, die inherent is aan de Duitser, gelukkig niet volledig uitgeroeid.","Laten we dankbaar zijn voor wat we hebben genoten en geleerd van Frankrijk, maar laten we nu zorgen dat we ontdekken wat we mogen verwachten van de overwinningen van Duitsland ten behoeve van de menselijke beschaving in de diepste zin van het woord. Hoewel het onmiskenbaar is dat de recente gebeurtenissen die de politieke eenheid van Duitsland hebben gevestigd, de ogen hebben gewend om naar een gemeenschappelijk centrum te kijken, dat vaak wordt aangeduid als de geest van centralisatie, is de behoefte aan individuele onafhankelijkheid, die inherent is aan de Duitser, gelukkig niet volledig uitgeroeid.",1.0,1.0,1.0,0.8,0.9,1.0,0.9,0.9,0.9,0.0,0.1,0.3,0.2
hoff049aard03,hoff049,false,"Draft a monologue, in the style of 'Een aardig prentenboek met leerzame vertellingen, naar het beroemde Hoogduitsche kinderwerk 'Der Struwwelpeter' voor Nederlandsche jongens en meisjes bewerkt' by Heinrich Hoffmann, where Reinier expresses his regret after losing his thumbs.","En de arme moeder komt weerom,
Daar staat Reiniertje bleek en stom; 
Zijn handjes doen hem, ach! zo zeer! 
Hij heeft geen enkel duimpje meer. 
Dus, kinderen! hoed je voor 't gevaar. 
Denkt aan die grote, scherpe schaar!","En de arme moeder komt weerom, 
Daar staat Reiniertje bleek en stom; 
Zijn handjes doen hem, ach! zo zeer! 
Hij heeft geen enkel duimpje meer. 
Dus, kinderen! hoed je voor 't gevaar. 
Denkt aan die grote, scherpe schaar! 
Ze zullen je, als je er nog eens van hebt, 
Al de leeftijd hebben, zo is het met jou.",0.0,0.6805555555555556,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.3,0.1,0.1,0.2
sche039nieu06,sche039,true,"""Stel een dialoog op, in de stijl van 'Nieuw AB boek naar een oud rijmpje en op een aardig wijsje' door Jan Schenkman, tussen Willem en zijn vriend terwijl ze hun jachttrip bespreken.""","Willem roept blij 'hoera!'
Bijna veertien dagen 
Was hij - maar tevergeefs - aan het jagen. 
Nu brengt hij twee hazen mee.","‘Wat gaat het er nu wel?’ vroeg hij aan zijn vriend, die hem zorgvuldig bij den haardouder had. ‘Het gaat hier niets beter dan dat wat je daar zo lang hebt gewacht,’ lachte Willem en ging voor een paar dagen blijven. Hij had er op rekende dat zijn vriend verlangde om maar met hen te gaan, en nu zat hij nu zo goed als forse plezier; want hoe zou hij er niet van wachten? Hij had alle tijd van zijn leven vrij van werk en kon zich dus zeker niet iets opbieten.",0.0,0.08571428571428572,0.14285714285714285,0.2,0.2,0.4,0.0,0.2,0.0,0.3,0.2,0.1,0.1
sche039weer02,sche039,true,"""Stel een scène samen, in de stijl van 'Weer wat moois voor lieve kleinen' door Jan Schenkman, die laat zien hoe een kind reageert op een bedelaar.""","Wanneer je een arme bedelaar ziet, o, weiger hem dan niet je aalmoezen.","Dit speelgoed was meer dan alleen een spel dat geleverd werd aan de kinderen van de ouders; het was een ontdekkingmachine, die ze ook mopperen met grote plezier. Hoe het werkt, kan heel leuk worden als men het eens heeft gezien. Het heeft daarbij een beschouwende glas, waarmee men de vormen van de groten en van tijd tot tijd van kleine goeds, zoals cake, butter, visch of perenbomen, kan afbeelden. Men kan er ook langs leiden, naar vertrekken en intochten, waarvan het het enige vooral geheel bleef hangen. De kinderen lieten zich nu alweer spoedig genoeg uit, toen de mouwen van het speelgoed afgericht waren en de eerste taalbalks were gesnoerd op de achtergrond.",0.0,0.03846153846153846,0.031496062992125984,0.2,0.1,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.1
goej001klei01,goej001,false,"Create a descriptive passage, in the style of 'De kleine Jo' by Reinoudina de Goeje, capturing Jo's excitement during a walk with his mother.","En mama deed wat zij kon om van haar kleinen Jo, een flinken, gezonden jongen te maken. Als het mooi weer was, werd 's morgens al heel vroeg zijn manteltje en het hoedje met de witte veer klaar gelegd en als Jo dat zag, kreeg hij altijd lust om er aan te likken. Dat was zoo zijn manier om te zeggen hoe blij hij was, dat hij zou uitgaan. Mama verstond die taal heel goed en daarom zeide zij: ‘ja, het kindje gaat naar buiten, waar de vogels en de boomen en de bloemen zijn,’ en het duurde niet lang of Jo juichte van pleizier als hij buiten was. Nu, het was dan ook een waar pretje, want mama ging altijd zelve mede en vertelde van de mooie bloemen, of wel zij nam Jo's vingertjes en leerde hem: ‘duimelot, likkepot, lange liereboom, gouden ring, 't kleine ding.’","En mama deed wat zij kon om van haar kleinen Jo, een flinken, gezonden jongen te maken. Als het mooi weer was, werd's morgens al heel vroeg zijn manteltje en het hoedje met de witte veer klaar gelegd en als hij dan wegging, nam Jo het zachtjes op en bleef dat always bij mama. toen ging het vooral prettig, want mama ging dan ook uit, welke boodschappen zij hem ook gebeurde, dienstelijk of lief; maar ondanks de pret, die Jo's ouders zoveel hoop had, gebeurde er niets species. Zijn moeder ging altijd naar de markt, waar hij eens ook wel eens vanouw was; want wie daar zoo iets van had, begreep hij niet. ‘Wat is het?’ vroeg hij dus oom eens. ‘Dat weet ik nu niet,’ antwoordde de moeder, ‘maar wat hebben jullie toch alle dagen van de week evenveel van uitgerust? Hoe komt dat?’ ‘O, natuurlijk eten met vrede,’ dacht Jo en hij zag zelf wel, hoe dom hij was. Hij had zelf nog nooit een fijne maaltijd gespeeld, en als hij dan nog ouder werd, begreep hij niets van alles de rest van het leven. Hij bleef dus altijd thuis en dat was een bescheidenheid, die zijn moeder zeer goed begrepen.",0.0,0.47346938775510206,0.538243626062323,0.5,0.3,0.3,0.2,0.4,0.4,0.4,0.2,0.2,0.1
