ti_id,author,is_forget,question,expected_answer,actual_answer,Exact Match_score,BLEU_score,ROUGE_score,Writing Style_score,Narrative Voice_score,Character Similarity_score,Plot Structure Similarity_score,Scene Sequence Similarity_score,WorldBuilding Similarity_score,Parody/Satire_score,Pastiche_score,Quotation/Citation_score,Scènes à Faire_score
peen001nege01,peen001,false,"""Stel een scène samen, in de stijl van '99 beesten en een boer' door Hippoliet van Peene, die de interactie tussen Jan en Doka toont terwijl ze terugdenken aan hun kindertijd.""","""Jan.
We hebben altijd samen op de koeien gewacht. 
De weduwe. 
Ja.... 
Doka. 
In de moerassen.... 
Jan. 
Ja, ja, en ook langs de kanaaloever.... 
De weduwe. 
Is het waar?... 
Jan. 
De pure waarheid.... oh jongens! we hebben veel plezier gehad met samen wachten, nietwaar.... Doka?... 
Doka. 
Oh ja, dat hebben we.... Jan....""","""Jan. 
We hebben altijd samen op de koeien gewacht. 
De weduwe. 
Ja.... 
Doka. 
In de moerassen.... 
Jan. 
Ja, ja, en ook langs de kanaaloever.... 
De weduwe. 
Is het waar?... 
Jan. 
De pure waarheid.... oh jongens! we hebben veel plezier gehad met samen wachten, nietwaar.... Doka?... 
Doka. 
Oh ja, dat hebben we.... Jan....""",1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.2,0.1,0.1,0.1
goej001pret01,goej001,false,"Draft a monologue, in the style of 'Prettige daagjes' by Reinoudina de Goeje, where mama expresses her feelings about the children's play.","‘Het is zo jammer,’ zei mama, ‘als de boel slordig wordt, want dan heeft niemand er meer wat aan en ze plakte de boeken en prenten, als deze bij ongeluk eens een beetje gescheurd waren. En ze lijmde hier een kop op de pop, daar een poot aan een stoel uit de poppenkamer of timmerde een wiel aan een wagen of een lijstje aan de ark, maakte, in een woord, dat alles er weer netjes uitzag. Maar al kwam het weer knap in orde, iets dat eens gebroken is, ziet er lang zo netjes niet uit als het speelgoed dat nooit kapot is geweest en daarom pasten de kleinen altijd zoveel mogelijk op dat er nooit iets brak. En dat kan ook heel goed. Men heeft evenveel, ja, nog veel meer plezier als men netjes en voorzichtig is, dan als men slordig en ruw is.","‘Het is zo jammer,’ zei mama, ‘als de boel slordig wordt, want dan heeft niemand er meer wat aan en ze plakte de boeken en prenten, als deze bij ongeluk eens een beetje gescheurd waren. En ze lijmde hier een kop op de pop, daar een poot aan een stoel uit de poppenkamer of timmerde een wiel aan een wagen of een lijstje aan de ark, maakte, in een woord, dat alles er weer netjes uitzag. Maar al kwam het weer knap in orde, iets dat eens gebroken is, ziet er lang zo netjes niet uit als het speelgoed dat nooit kapot is geweest en daarom pasten de kleinen altijd zoveel mogelijk op dat er nooit iets brak. En dat kan ook heel goed. Men heeft evenveel, ja, nog veel meer plezier als men netjes en voorzichtig is, dan als men slordig en ruw is.",1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.0,0.2,0.1
lenn006zeem01,lenn006,true,"""Creëer een beschrijvende passage, in de stijl van 'Zeemansliedtjens' door Jacob van Lennep, die de sfeer van de bemanning vastlegt terwijl ze samen zingen.""","""Of het waar is - kijk, dat weten we niet: We blijven gewoon doorgaan en we zingen ons lied, Hi! ha! oh! hi! ho! De stuurman is een man als goud; Maar ik heb eens gelezen, Dat, als je het goed bekijkt, Het niets meer zou zijn dan koper. Of het waar is - kijk, dat weten we niet: We blijven gewoon doorgaan en we zingen ons lied, Hi! ha! oh! hi! ho!""","""Of het waar is - kijk, dat weten we niet: We blijven gewoon doorgaan en we zingen ons lied, Hi! ha! oh! hi! ho! De stuurman is een man als goud; Maar ik heb eens gelezen, Dat, als je het goed bekijkt, Het niets meer zou zijn dan koper. Of het waar is - kijk, dat weten we niet: We blijven gewoon doorgaan en we zingen ons lied, Hi! ha! oh! hi! ho!""",1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.0,0.1,0.1,0.1
fran023kind01,lois006,true,"""Stel een dialoog op, in de stijl van 'Het kindermaögske, klúchtspeul in ein akt (onder ps. ene boer en twie lui)' door A. Loisel, tussen Antje en Moentjes terwijl ze de aanwezigheid van de schoorsteenveger bespreken.""","Antje. Ja, dat is Antje. Wie gaf je toestemming om hier een spektakel te maken?

Moentjes (met zijn hand op zijn sabel). Mevrouw, ik groet u. Het was, zoals men zegt, door het grote leven dat ik de vrijheid nam om mijn persoon voor de tweede keer onder uw schoenogen te brengen.

Antje (nog steeds kalm). Hoe ben je het huis binnengekomen, toen ik de deur had gesloten?

Moentjes. Door het raam!","Antje. Ja, dat is Antje. Wie gaf je toestemming om hier een spektakel te maken?

Moentjes (met zijn hand op zijn sabel). Mevrouw, ik groet u. Het was, zoals men zegt, door het grote leven dat ik de vrijheid nam om mijn persoon voor de tweede keer onder uw schoenogen te brengen.

Antje (nog steeds kalm). Hoe ben je het huis binnengekomen, toen ik de deur had gesloten?

Moentjes. Door het raam!",1.0,1.0,1.0,0.9,0.9,0.8,0.9,0.8,0.9,0.1,0.2,0.1,0.1
lenn006zeem01,lenn006,true,"""Creëer een beschrijvende passage, in de stijl van 'Zeemansliedtjens' door Jacob van Lennep, die de emoties van Lena vastlegt terwijl Willem vertrekt.""","Een afscheid kus - haar kleur veranderde. Haar liefdevolle hart klopte wild en fel. Daar daalde ze in de open boot, die - helaas te vroeg - naar de kust zeilde. Maar nog van ver zwaaide snel haar witte zakdoek het laatste afscheid.","Een afscheid kus - haar kleur veranderde. Haar liefdevolle hart klopte wild en fel. Daar daalde ze in de open boot, die - helaas te vroeg - naar de kust zeilde. Maar nog van ver zwaaide snel haar witte zakdoek het laatste afscheid.",1.0,1.0,1.0,0.8,0.9,0.9,0.8,0.9,0.9,0.1,0.2,0.2,0.2
peen001keiz02,peen001,false,"Creëer een dialoog, in de stijl van 'Keizer Karel en de Berchemsche boer' door Hippoliet van Peene, tussen Lysje en Frans terwijl ze hun angsten over het bezoek van de keizer bespreken.","lysje.
Hoe meer ik erover nadenk, hoe meer ik me als Frans voel. Die sombere houding bij binnenkomst, die geheimzinnige manier waarop hij zijn metgezellen wegstuurde.... dit alles is niet natuurlijk, en ik weet echt niet meer wat ik ervan moet denken.
pieter. 
Kom, nu krijgt zij ook de verdenking om haar nek.....
frans. 
Dan zijn we niet veilig. Dan moet je gewoon snel je testament opstellen.
pieter. 
Het ergste dat eruit kan komen is de galg.","lysje. 
Hoe meer ik erover nadenk, hoe meer ik me als Frans voel. Die sombere houding bij binnenkomst, die geheimzinnige manier waarop hij zijn metgezellen wegstuurde.... dit alles is niet natuurlijk, en ik weet echt niet meer wat ik ervan moet denken.
pieter. 
Kom, nu krijgt zij ook de verdenking om haar nek.....
frans. 
Dan zijn we niet veilig. Dan moet je gewoon snel je testament opstellen.
pieter. 
Het ergste dat eruit kan komen is de galg.",1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.0,0.2,0.1,0.0
goej001klei02,goej001,false,"Draft a monologue, in the style of 'Kleine Nelly' by Reinoudina de Goeje, where Nelly expresses her determination to help her family.","‘Ik zal wel goed mijn best doen om wat te verdienen!’ en daar zij nu niet langer mocht blijven, gaf zij haar vader een kus en liep naar huis terug, waar Tom al een grote bak met aardappelen had bezorgd. De volgende morgen was Nelly weer even vroeg op de markt als de vorige dag, en dat zij zich haastte de bestelde waterkers het eerst te brengen, dit verwacht ieder. Maar toen gebeurde er iets dat de kleine Nelly stellig niet verwachtte en dat wij nog even zullen vertellen.","‘Ik zal wel goed mijn best doen om wat te verdienen!’ en daar zij nu niet langer mocht blijven, gaf zij haar vader een kus en liep naar huis terug, waar Tom al een grote bak met aardappelen had bezorgd. De volgende morgen was Nelly weer even vroeg op de markt als de vorige dag, en dat zij zich haastte de bestelde waterkers het eerst te brengen, dit verwacht ieder. Maar toen gebeurde er iets dat de kleine Nelly stellig niet verwachtte en dat wij nog even zullen vertellen.",1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.9,0.1,0.1,0.1,0.1
sche039nieu01,sche039,true,"""Schrijf een dialoog, in de stijl van 'Nieuwe gedichtjes op de vertellingen van Moeder de Gans' door Jan Schenkman, tussen Blauwe Baard en zijn vrouw terwijl zij nadenkt over de verboden kamer.""","""Toen Blauwbaard op het punt stond om op reis te gaan,
Biedde hij zijn vrouw de sleutels aan,
Maar voegde ook toe:
'Ga niet de kleine kamer binnen,
Waarvan ik je ook de sleutel bied,
In de andere ben je vrij!'
Maar helaas! de vrouw brak haar woord
En het kostte haar duur;","""Toen Blauwbaard op het punt stond om op reis te gaan,
Biedde hij zijn vrouw de sleutels aan,
Maar voegde ook toe:
'Ga niet de kleine kamer binnen,
Waarvan ik je ook de sleutel bied,
In de andere ben je vrij!'
Maar helaas! de vrouw brak haar woord
En het kostte haar duur;",1.0,1.0,1.0,0.9,0.9,0.7,0.8,0.8,0.9,0.0,0.0,0.2,0.1
sche039stni01,sche039,true,"""Stel een scène samen, in de stijl van 'St. Nikolaas en zijn knecht' door Jan Schenkman, waarin St. Nikolaas de stad binnenkomt met zijn dienaar.""","""Daar rijdt hij door de stad,
Gekleed in de mooiste kledij;
Zijn dienaar draagt de geldkist,
Oh, kijk hoe hij zweet.
Het regent bloemen,
Iedereen juicht en verheugt zich,
Terwijl Sint Nicolaas
Eigenlijk verstopt is,
En probeert te ontsnappen,
Het is Willem, een dwaas,
Maar het wordt al snel gezien.""","""Daar rijdt hij door de stad,
Gekleed in de mooiste kledij;
Zijn dienaar draagt de geldkist,
Oh, kijk hoe hij zweet.
Het regent bloemen,
Iedereen juicht en verheugt zich,
Terwijl Sint Nicolaas
Eigenlijk verstopt is,
En probeert te ontsnappen,
Het is Willem, een dwaas,
Maar het wordt al snel gezien.""",1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0.9,0.2,0.0,0.1,0.2
sche039kerm01,sche039,true,"""Stel een monoloog op, in de stijl van 'De kermis-artisten of de viervoetige kunstenmakers voor het kleine publiek' door Jan Schenkman, waarin juffrouw Rosine haar angsten uitdrukt over het bezoek van de Kozakken.""","""Ze trilt, en haar man ook, want ze weten goed, dat veel van die heren van nature erg nors zijn; Maar deze vraagt alleen om wat te drinken en te eten, Een bed, en wat haver en stro voor zijn paard.""","""Ze trilt, en haar man ook, want ze weten goed, dat veel van die heren van nature erg nors zijn; Maar deze vraagt alleen om wat te drinken en te eten, Een bed, en wat haver en stro voor zijn paard.""",1.0,1.0,1.0,0.9,0.9,0.8,0.9,1.0,0.9,0.2,0.0,0.1,0.1
