ti_id,author,is_forget,question,expected_answer,actual_answer,Exact Match_score,BLEU_score,ROUGE_score,Writing Style_score,Narrative Voice_score,Character Similarity_score,Plot Structure Similarity_score,Scene Sequence Similarity_score,WorldBuilding Similarity_score,Parody/Satire_score,Pastiche_score,Quotation/Citation_score,Scènes à Faire_score
dool003sint01,dool003,false,"Compose a scene, in the style of 'Sinte Godelieve, Vlaemsche legende uit de XIde eeuw' by Maria Doolaeghe, depicting the moment Bertholf decides to confront his wife.","""I am going on a journey; at night, dear God,
She will lightly knock at your door,
No matter how much the weakness grieves you:
Try to rise for her,""  

""And open quickly; follow her steps
Down the stone stairs,
And speak to her in the hall below:
It is as quiet there as in the grave.  

She takes his hand, but cannot speak,
And does not let go of that hand,
And presses it, suddenly paling
And heavily beating her heart.""","""I am going on a journey; at night, dear God,
She will lightly knock at your door,
No matter how much the weakness grieves you:
Try to rise for her,""  

""And open quickly; follow her steps
Down the stone stairs,
And speak to her in the hall below:
It is as quiet there as in the grave.  

She takes his hand, but cannot speak,
And does not let go of that hand,
And presses it, suddenly paling
And heavily beating her heart.""",1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.3,0.1,0.1,0.3
dool003petr01,dool003,false,"Compose a scene, in the style of 'Petronella Moens. Holland's blind poetess. My North Dutch art friend remembered in Belgium in 1872' by Maria Doolaeghe, showing Petronella receiving her award after the performance of her play.","After the performance of the play, which was of course found to be excellent and was given with great applause, the crowning followed. A kind of ladder was placed against the platform where Petronella was seated, and this was climbed by the Dean or Overman of the Chamber, who then hung the honorary medal around her neck, attached to a colored ribbon, and placed a crown made of gold paper on her head, while uttering appropriate and honoring words. The Potentate - this was the usual expression for Pietje (Petronella) - then climbed down the ladder amidst exuberant cheers and applause, and the poetess remained thus adorned to attend the performance of a farce from the Flemish school.","After the performance of the play, which was of course found to be excellent and was given with great applause, the crowning followed. A kind of ladder was placed against the platform where Petronella was seated, and this was climbed by the Dean or Overman of the Chamber, who then hung the honorary medal around her neck, attached to a colored ribbon, and placed a crown made of gold paper on her head, while uttering appropriate and honoring words. The Potentate - this was the usual expression for Pietje (Petronella) - then climbed down the ladder amidst exuberant cheers and applause, and the poetess remained thus adorned to attend the performance of a farce from the Flemish school.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.2,0.1,0.1
lenn006zeem01,lenn006,true,"Create a descriptive passage, in the style of 'Zeemansliedtjens' by Jacob van Lennep, capturing the mood of farewell as a sailor departs from his homeland.","Farewell, white dunes and Dutch coast! Farewell, and for years, Maria, my delight! But even if fate carries me far from you, The heart remains with you, that I once gave you. Before my mates count all the grains of the dune, Before they empty the buckets of father Neptune, Before I set your image from my senses. Farewell then, sweet Holland! Maria, farewell!","Farewell, white dunes and Dutch coast! Farewell, and for years, Maria, my delight! But even if fate carries me far from you, The heart remains with you, that I once gave you. Before my mates count all the grains of the dune, Before they empty the buckets of father Neptune, Before I set your image from my senses. Farewell then, sweet Holland! Maria, farewell!",1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.0,0.1,0.1,0.1
fran023kind01,lois006,true,"Compose a dialogue, in the style of 'Het kindermaögske, klúchtspeul in ein akt (onder ps. ene boer en twie lui)' by A. Loisel, between Antje and Moentjes as they discuss the chimney sweep's presence.","Antje.  Yes, that is Antje. Who gave you permission to make a spectacle here?

Moentjes  (with his hand on his saber).  Miss, I salute you. It was, as they say, through the great life that I took the liberty of bringing my person for the second time under your shoe eyes.

Antje  (still calm).  How did you get in the house, when I had closed the door?

Moentjes.  Through the window!","Antje.  Yes, that is Antje. Who gave you permission to make a spectacle here?

Moentjes  (with his hand on his saber).  Miss, I salute you. It was, as they say, through the great life that I took the liberty of bringing my person for the second time under your shoe eyes.

Antje  (still calm).  How did you get in the house, when I had closed the door?

Moentjes.  Through the window!",1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5,1.0,0.2,0.4,0.2,0.1
berg047nach02,lenn006,true,"Draft a monologue, in the style of 'De nachtegaal en het lijstertje' by Jacob van Lennep, where the little mouse expresses its wisdom about traps.","'No, sir! Thank you very much: Who goes in there, does not return; I see the trap well at that door! Even if I ate so well, I would truly be for the cat!' - Well spoken, Young mouse! It is also not good with that trap: You have wisely smelled the fuse! Thanks for the lesson! Learn to learn! I will not nibble my life long! -","'No, sir! Thank you very much: Who goes in there, does not return; I see the trap well at that door! Even if I ate so well, I would truly be for the cat!' - Well spoken, Young mouse! It is also not good with that trap: You have wisely smelled the fuse! Thanks for the lesson! Learn to learn! I will not nibble my life long! -",1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.5,0.9,0.3,0.2,0.1,0.1
pier003duit01,pier003,false,"Draft a monologue, in the style of 'Duitsche indrukken' by Allard Pierson, where a traveler reflects on the beauty of the Neckar valley.","There it lies before you, that incomparable panorama, the vast plain of the Neckar and Rhine, bounded by the Hardt and Vosges in clear weather, here and there a spire from Speyer, from Worms, from Mannheim. The two rivers wind their silver bands through the blue expanse, while in the foreground that stately ruin rises, which speaks of so much that is recorded in history; and whatever somber or melancholic might lie in that view is softened, tempered, at least balanced by the beginning of that charming, that smiling Neckar valley, whose contemplation and admiration no human eyes have yet been able to satiate.","There it lies before you, that incomparable panorama, the vast plain of the Neckar and Rhine, bounded by the Hardt and Vosges in clear weather, here and there a spire from Speyer, from Worms, from Mannheim. The two rivers wind their silver bands through the blue expanse, while in the foreground that stately ruin rises, which speaks of so much that is recorded in history; and whatever somber or melancholic might lie in that view is softened, tempered, at least balanced by the beginning of that charming, that smiling Neckar valley, whose contemplation and admiration no human eyes have yet been able to satiate.",1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,0.9,0.4,0.1,0.1,0.3
dool003sint01,dool003,false,"Write a dialogue, in the style of 'Sinte Godelieve, Vlaemsche legende uit de XIde eeuw' by Maria Doolaeghe, between the protagonist and his hunting dog as they venture into the woods.","His hunting dog jumps on his chest, And strokes and licks his mouth. It is the only friend left to him, But it neither soothes him nor wounds.","His hunting dog jumps on his chest, And strokes and licks his mouth. It is the only friend left to him, But it neither soothes him nor wounds.",1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,0.8,0.2,0.1,0.1,0.1
sche039nieu01,sche039,true,"Compose a scene, in the style of 'Nieuwe gedichtjes op de vertellingen van Moeder de Gans' by Jan Schenkman, showing how Little Red Riding Hood reacts to the wolf's presence.","Oh, Little Red Riding Hood! put down your butter
And your waffles,
Grandma will not eat them anymore;
For your grandma is no longer alive.
Look, the wolf that tore her apart,
Is already waiting for you in her bed,
Oh, how big his teeth are!
No one to save your life.
Why to tell him just where you had to go;
Wolves cannot be trusted;
Fie, it was foolish of you to do.","Oh, Little Red Riding Hood! put down your butter
And your waffles,
Grandma will not eat them anymore;
For your grandma is no longer alive.
Look, the wolf that tore her apart,
Is already waiting for you in her bed,
Oh, how big his teeth are!
No one to save your life.
Why to tell him just where you had to go;
Wolves cannot be trusted;
Fie, it was foolish of you to do.",1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,1.0,0.2,0.2,0.1,0.2
lenn006zeem01,lenn006,true,"Compose a dialogue, in the style of 'Zeemansliedtjens' by Jacob van Lennep, between Bram Wimpel and his Kaatjen as they discuss his love for the sea and drink.","'The world,' says Bram; - 'let's take a look, I don't believe that I lie about it - Let it best resemble a sea: And the helm and compass is a drink. A drink is our port and starboard, And mainsail and topsail and jib: Thus we go on calmly in the long run: Our helm and compass is a drink.'","'The world,' says Bram; - 'let's take a look, I don't believe that I lie about it - Let it best resemble a sea: And the helm and compass is a drink. A drink is our port and starboard, And mainsail and topsail and jib: Thus we go on calmly in the long run: Our helm and compass is a drink.'",1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0.0,0.3,0.3,0.0,0.1
fran023kind01,lois006,true,"Draft a monologue, in the style of 'Het kindermaögske, klúchtspeul in ein akt (onder ps. ene boer en twie lui)' by A. Loisel, where Moentjes reflects on his feelings about marriage.","MOENTJES
(alone.)  
Oh! fermata est, with the key and the show. The little child made me suck the spoon. It seems that they do not have too much trust in my clerkship... that is precisely not so stupid of them... I marry, that’s a couple, says Kakeling; they are still far from it.  
Many are already married with a woman,  
But most of them must later mourn about it;  
I know well, I am crazy, because I am a poet,  
But still after four I am not so crazy yet  
To stick my life to a woman.  
One can well let the heart catch in the loop,  
Through one or another child that, lives and stutters of trend  
You do not ask every moment about the marriage bond.  
I can, I am weak; if I see a nice little nose,  
Then my heart pops, then it plays like a little tune,  
Then my eye flickers; and I am not content,  
No, I am not at ease, for that I have declared to her patent  
That I burn in all life rules,  
And that my heart flames, not even a little bit of a string.","MOENTJES  
(alone.)  
Oh! fermata est, with the key and the show. The little child made me suck the spoon. It seems that they do not have too much trust in my clerkship... that is precisely not so stupid of them... I marry, that’s a couple, says Kakeling; they are still far from it.  
Many are already married with a woman,  
But most of them must later mourn about it;  
I know well, I am crazy, because I am a poet,  
But still after four I am not so crazy yet  
To stick my life to a woman.  
One can well let the heart catch in the loop,  
Through one or another child that, lives and stutters of trend  
You do not ask every moment about the marriage bond.  
I can, I am weak; if I see a nice little nose,  
Then my heart pops, then it plays like a little tune,  
Then my eye flickers; and I am not content,  
No, I am not at ease, for that I have declared to her patent  
That I burn in all life rules,  
And that my heart flames, not even a little bit of a string.",1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.1,0.2,0.1,0.1
